N,Algoritm,Timp_Sortare,Memorie_Extra_Bytes,Status
50000,Bubble Sort,265.5889 us,0,OK
50000,Selection Sort,2.8920 s,0,OK
50000,Insertion Sort,514.8515 us,0,OK
50000,Merge Sort,11.1111 ms,3137856,OK
5000000,Bubble Sort,TIMEOUT,0,TIMEOUT
5000000,Selection Sort,TIMEOUT,0,TIMEOUT
5000000,Insertion Sort,TIMEOUT,0,TIMEOUT
5000000,Merge Sort,1.8330 s,446445568,OK
50,Bubble Sort,5.6622 us,0,OK
50,Selection Sort,3.5871 us,0,OK
50,Insertion Sort,1.9282 us,0,OK
50,Quick Sort,1.5172 us,Stack,OK
50,Merge Sort,9.6293 us,1144,OK
10,Bubble Sort,72.5814 ns,0,OK
10,Selection Sort,211.8034 ns,0,OK
10,Insertion Sort,104.1551 ns,0,OK
10,Quick Sort,430.4834 ns,Stack,OK
10,Merge Sort,2.2469 us,136,OK
10000,Bubble Sort,294.0000 ms,0,OK
10000,Selection Sort,211.0000 ms,0,OK
10000,Insertion Sort,150.0000 ms,0,OK
10000,Quick Sort,187.0000 ms,Stack,OK
10000,Merge Sort,2.4043 ms,534464,OK
50000,Bubble Sort,8.5870 s,0,OK
50000,Selection Sort,2.8180 s,0,OK
50000,Insertion Sort,1.5960 s,0,OK
50000,Quick Sort,8.0769 ms,Stack,OK
50000,Merge Sort,15.4286 ms,3137856,OK
